,denominador,numerador,Frequência,P-value,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
428,D15,Licenca_Medica,0.5,0.007892773,6,126,111,15,3,3
449,D34,Licenca_Medica,0.666666667,0.006780018,3,129,113,16,1,2
451,D36,Licenca_Medica,0.428571429,0.020610881,7,125,110,15,4,3
452,D37,Licenca_Medica,0.272727273,0.041184163,22,110,98,12,16,6
456,D40,Licenca_Medica,0.75,0.000281575,4,128,113,15,1,3
457,D41,Licenca_Medica,0.428571429,0.020610881,7,125,110,15,4,3
466,D5,Licenca_Medica,0.666666667,0.006780018,3,129,113,16,1,2
468,D51,Licenca_Medica,1,0.011530428,1,131,114,17,0,1
471,D9,Licenca_Medica,1,0.011530428,1,131,114,17,0,1
498,DN4 - Choque elétrico,Licenca_Medica,0.170212766,0.032747284,47,137,128,9,39,8
500,DN4 - Alfinetada e agulhada,Licenca_Medica,0.176470588,0.01473243,51,133,125,8,42,9
502,DN4 - Coceira,Licenca_Medica,0.5,0.000455707,6,178,164,14,3,3
503,DH4 - Hipoestesia ao toque,Licenca_Medica,0.4,0.016029306,5,179,164,15,3,2
504,DN4 - Hipoestesia a picada de agulha,Licenca_Medica,0.333333333,0.038250994,6,178,163,15,4,2
505,DN4 - Escovação,Licenca_Medica,0.5,0.004423,4,180,165,15,2,2
506,Fuma,Aposentado_Invalidez,0.113636364,0.00961679,44,138,135,3,39,5
510,Licenca_Medica,Aposentado_Invalidez,0.166666667,0.005305892,18,174,169,5,15,3
511,Aposentado_Invalidez,Aposentado_Invalidez,1,9.43E-45,8,189,189,0,0,8
515,Dor nas pernas,Aposentado_Invalidez,0.118644068,0.000473032,59,129,128,1,52,7
516,Retornar_trabalho,Aposentado_Invalidez,0.19047619,0.000186476,21,153,150,3,17,4
545,D3,Aposentado_Invalidez,0.5,0.008993049,2,129,122,7,1,1
546,Lombalgia,D33,0.14516129,0.032162513,62,74,71,3,53,9
563,D46,Aposentado_Invalidez,0.131578947,0.031214413,38,93,90,3,33,5
579,RMDQ7_v1,Aposentado_Invalidez,0.121212121,0.01849634,33,146,142,4,29,4
581,RMDQ9_v1,Aposentado_Invalidez,0.142857143,0.006199483,28,151,147,4,24,4
582,RMDQ10_v1,Aposentado_Invalidez,0.117647059,0.022172222,34,145,141,4,30,4
583,RMDQ11_v1,Aposentado_Invalidez,0.111111111,0.03094463,36,143,139,4,32,4
584,RMDQ12_v1,Aposentado_Invalidez,0.105263158,0.041749623,38,141,137,4,34,4
587,RMDQ15_v1,Aposentado_Invalidez,0.12,0.049455908,25,154,149,5,22,3
591,RMDQ19_v1,Aposentado_Invalidez,0.153846154,0.003574036,26,153,149,4,22,4
592,RMDQ20_v1,Aposentado_Invalidez,0.129032258,0.012444048,31,148,144,4,27,4
593,RMDQ21_v1,Aposentado_Invalidez,0.102564103,0.047958398,39,140,136,4,35,4
594,RMDQ22_v1,Aposentado_Invalidez,0.125,0.015262312,32,147,143,4,28,4
595,RMDQ23_v1,Aposentado_Invalidez,0.129032258,0.012444048,31,148,144,4,27,4
596,RMDQ24_v1,Aposentado_Invalidez,0.137931034,0.007942392,29,150,146,4,25,4
603,DN4 - Coceira,Aposentado_Invalidez,0.333333333,0.000437803,6,176,170,6,4,2
604,DH4 - Hipoestesia ao toque,Aposentado_Invalidez,0.333333333,0.000437803,6,176,170,6,4,2
605,DN4 - Hipoestesia a picada de agulha,Aposentado_Invalidez,0.285714286,0.001462671,7,175,169,6,5,2
606,DN4 - Escovação,Aposentado_Invalidez,0.4,8.21E-05,5,177,171,6,3,2
613,Analgésicos,Analgésicos,1,1.11E-48,147,68,68,0,0,147
615,Dor nas costas,Analgésicos,0.81147541,6.20E-07,122,78,41,37,23,99
616,Dor nas pernas,Analgésicos,0.84375,0.000516846,64,134,54,80,10,54
631,D16,Analgésicos,0.9,0.020388783,20,110,40,70,2,18
645,D29,Analgésicos,0.833333333,0.008426224,42,88,35,53,7,35
647,Lombalgia,D47,0.14516129,0.032162513,62,74,71,3,53,9
649,D32,Analgésicos,0.891891892,0.000946868,37,93,38,55,4,33
656,D39,Analgésicos,0.933333333,0.023959532,15,115,41,74,1,14
662,D44,Analgésicos,0.868421053,0.002694298,38,92,37,55,5,33
664,D46,Analgésicos,0.868421053,0.002694298,38,92,37,55,5,33
666,D48,Analgésicos,0.846153846,0.039113011,26,104,38,66,4,22
676,RMDQ3_v1,Analgésicos,0.830985915,0.006358286,71,128,45,83,12,59
678,RMDQ5_v1,Analgésicos,0.846153846,0.003959426,65,134,47,87,10,55
679,RMDQ6_v1,Analgésicos,0.823529412,0.043993117,51,148,48,100,9,42
680,RMDQ7_v1,Analgésicos,0.888888889,0.009606303,36,162,53,109,4,32
682,RMDQ9_v1,Analgésicos,0.903225806,0.010501956,31,167,54,113,3,28
683,RMDQ10_v1,Analgésicos,0.891891892,0.007399914,37,161,53,108,4,33
684,RMDQ11_v1,Analgésicos,0.894736842,0.005678359,38,160,53,107,4,34
685,RMDQ12_v1,Analgésicos,0.853658537,0.024586893,41,157,51,106,6,35
687,RMDQ14_v1,Analgésicos,0.866666667,0.009193885,45,153,51,102,6,39
688,RMDQ15_v1,Analgésicos,0.888888889,0.029041827,27,171,54,117,3,24
689,RMDQ16_v1,Analgésicos,0.852941176,0.046299011,34,164,52,112,5,29
691,RMDQ18_v1,Analgésicos,0.909090909,0.006189497,33,165,54,111,3,30
692,RMDQ19_v1,Analgésicos,0.896551724,0.017581314,29,169,54,115,3,26
693,RMDQ20_v1,Analgésicos,0.911764706,0.004727577,34,164,54,110,3,31
694,RMDQ21_v1,Analgésicos,0.928571429,0.000482357,42,156,54,102,3,39
695,RMDQ22_v1,Analgésicos,0.852941176,0.046299011,34,164,52,112,5,29
696,RMDQ23_v1,Analgésicos,0.882352941,0.016003095,34,164,53,111,4,30
697,RMDQ24_v1,Analgésicos,0.90625,0.008075987,32,166,54,112,3,29
698,DN4 - Queimação,Analgésicos,0.795698925,0.001204309,93,105,44,61,19,74
699,DN4 - Sensação de frio dolorosa,Analgésicos,0.8,0.044360433,45,153,55,98,9,36
706,DN4 - Hipoestesia a picada de agulha,Analgésicos,1,0.048512652,8,193,64,129,0,8
710,Aposentado,OutraDoenca,0.513513514,0.035879052,37,158,106,52,18,19
715,OutraDoenca,OutraDoenca,1,6.20E-47,80,127,127,0,0,80
782,RMDQ8_v1,OutraDoenca,0.75,0.036939254,8,181,112,69,2,6
791,RMDQ17_v1,OutraDoenca,0.619047619,0.00084438,42,147,98,49,16,26
803,DN4 - Alfinetada e agulhada,OutraDoenca,0.491525424,0.034318583,59,133,89,44,30,29
812,Desempregado,Dor nas costas,0.9,0.000319402,30,160,72,88,3,27
813,Licenca_Medica,Dor nas costas,0.842105263,0.027224233,19,172,72,100,3,16
815,Analgésicos,Dor nas costas,0.727941176,6.20E-07,136,64,41,23,37,99
817,Dor nas costas,Dor nas costas,1,6.20E-47,128,79,79,0,0,128
818,Dor nas pernas,Dor nas costas,0.84375,5.86E-06,64,139,68,71,10,54
819,Retornar_trabalho,Dor nas costas,0.9,0.008590175,20,165,66,99,2,18
828,Livrar_costas,Dor nas costas,0.918918919,5.90E-05,111,16,7,9,9,102
829,Livrar_perna,Dor nas costas,0.571428571,0.000297933,14,113,10,103,6,8
833,D16,Dor nas costas,0.95,0.010243912,20,108,36,72,1,19
835,D18,Dor nas costas,0.9375,0.032586834,16,112,36,76,1,15
847,D29,Dor nas costas,0.902439024,0.001034627,41,87,33,54,4,37
849,Lombalgia,D45,0.161290323,0.005970555,62,74,72,2,52,10
851,D32,Dor nas costas,0.916666667,0.001319126,36,92,34,58,3,33
857,D38,Dor nas costas,0,0.005982854,3,125,34,91,3,0
864,D44,Dor nas costas,0.891891892,0.003980919,37,91,33,58,4,33
866,D46,Dor nas costas,0.837837838,0.043438907,37,91,31,60,6,31
881,RMDQ6_v1,Dor nas costas,0.770833333,0.041292104,48,143,56,87,11,37
882,RMDQ7_v1,Dor nas costas,0.823529412,0.017662644,34,156,61,95,6,28
884,RMDQ9_v1,Dor nas costas,0.827586207,0.027341825,29,161,62,99,5,24
885,RMDQ10_v1,Dor nas costas,0.828571429,0.012986902,35,155,61,94,6,29
886,RMDQ11_v1,Dor nas costas,0.828571429,0.012986902,35,155,61,94,6,29
887,RMDQ12_v1,Dor nas costas,0.794871795,0.030568114,39,151,59,92,8,31
889,RMDQ14_v1,Dor nas costas,0.813953488,0.009342115,43,147,59,88,8,35
891,RMDQ16_v1,Dor nas costas,0.84375,0.010781828,32,158,62,96,5,27
893,RMDQ18_v1,Dor nas costas,0.870967742,0.00439467,31,159,63,96,4,27
894,RMDQ19_v1,Dor nas costas,0.814814815,0.04928773,27,163,62,101,5,22
895,RMDQ20_v1,Dor nas costas,0.84375,0.010781828,32,158,62,96,5,27
898,RMDQ23_v1,Dor nas costas,0.8125,0.032035955,32,158,61,97,6,26
899,RMDQ24_v1,Dor nas costas,0.833333333,0.020172579,30,160,62,98,5,25
900,DN4 - Queimação,Dor nas costas,0.686046512,0.049836366,86,106,48,58,27,59
910,Fuma,Dor nas pernas,0.456521739,0.040518281,46,137,97,40,25,21
911,Cirurgia na coluna,Dor nas pernas,0.410958904,0.003576257,73,113,89,24,43,30
914,Licenca_Medica,Dor nas pernas,0.631578947,0.001925592,19,170,122,48,7,12
915,Aposentado_Invalidez,Dor nas pernas,0.875,0.000473032,8,180,128,52,1,7
916,Analgésicos,Dor nas pernas,0.402985075,0.000516846,134,64,54,10,80,54
918,Dor nas costas,Dor nas pernas,0.432,5.86E-06,125,78,68,10,71,54
919,Dor nas pernas,Dor nas pernas,1,2.80E-46,65,139,139,0,0,65
920,Retornar_trabalho,Dor nas pernas,0.65,0.000968017,20,162,116,46,7,13
929,Livrar_costas,Dor nas pernas,0.4,0.000663642,110,15,2,13,66,44
930,Livrar_perna,Dor nas pernas,0.928571429,0.000164949,14,111,67,44,1,13
933,D15,Dor nas pernas,0.857142857,0.019834506,7,120,71,49,1,6
934,D16,Dor nas pernas,0.95,3.72E-07,20,107,71,36,1,19
948,D29,Dor nas pernas,0.731707317,2.74E-06,41,86,61,25,11,30
950,Lombalgia,D49,0.177419355,0.002969643,62,74,72,2,51,11
952,D32,Dor nas pernas,0.833333333,1.03E-08,36,91,66,25,6,30
953,D33,Dor nas pernas,0.75,0.019889661,12,115,69,46,3,9
957,D37,Dor nas pernas,0.863636364,7.38E-06,22,105,69,36,3,19
958,D38,Dor nas pernas,1,0.044902775,3,124,72,52,0,3
959,D39,Dor nas pernas,0.866666667,0.000307451,15,112,70,42,2,13
962,D41,Dor nas pernas,0.857142857,0.019834506,7,120,71,49,1,6
965,D44,Dor nas pernas,0.837837838,3.58E-09,37,90,66,24,6,31
966,D45,Dor nas pernas,1,3.11E-05,12,115,72,43,0,12
967,D46,Dor nas pernas,0.864864865,3.04E-10,37,90,67,23,5,32
968,D47,Dor nas pernas,1,3.11E-05,12,115,72,43,0,12
969,D48,Dor nas pernas,0.92,4.19E-08,25,102,70,32,2,23
970,D49,Dor nas pernas,0.769230769,0.009828559,13,114,69,45,3,10
995,RMDQ19_v1,Dor nas pernas,0.518518519,0.041376392,27,161,110,51,13,14
1001,DN4 - Queimação,Dor nas pernas,0.458823529,0.000252532,85,105,83,22,46,39
1003,DN4 - Choque elétrico,Dor nas pernas,0.547169811,4.07E-05,53,139,106,33,24,29
1004,DN4 - Formigamento,Dor nas pernas,0.510638298,0.001539604,47,145,107,38,23,24
1005,DN4 - Alfinetada e agulhada,Dor nas pernas,0.5,0.000758979,56,136,102,34,28,28
1006,DN4 - Adormecimento,Dor nas pernas,0.464285714,0.006262141,56,134,99,35,30,26
1008,DH4 - Hipoestesia ao toque,Dor nas pernas,0.833333333,0.006595299,6,186,129,57,1,5
1010,DN4 - Escovação,Dor nas pernas,0.8,0.020790907,5,187,129,58,1,4
1013,Aposentado,Retornar_trabalho,0.433333333,5.70E-09,30,146,138,8,17,13
1014,Desempregado,Retornar_trabalho,0.269230769,0.004801335,26,147,135,12,19,7
1016,Aposentado_Invalidez,Retornar_trabalho,0.571428571,0.000186476,7,167,150,17,3,4
1019,Dor nas costas,Retornar_trabalho,0.153846154,0.008590175,117,68,66,2,99,18
1020,Dor nas pernas,Retornar_trabalho,0.220338983,0.000968017,59,123,116,7,46,13
1021,Retornar_trabalho,Retornar_trabalho,1,2.80E-46,21,183,183,0,0,21
1029,X6,Retornar_trabalho,0.444444444,0.003031321,9,158,141,17,5,4
1035,D16,Retornar_trabalho,0.411764706,0.00370268,17,102,89,13,10,7
1045,D25,Retornar_trabalho,0.75,0.001544314,4,115,98,17,1,3
1047,D27,Retornar_trabalho,0.6,0.008315517,5,114,97,17,2,3
1051,Lombalgia,D39,0.193548387,0.004554221,62,74,71,3,50,12
1058,D37,Retornar_trabalho,0.35,0.017051652,20,99,86,13,13,7
1060,D39,Retornar_trabalho,0.357142857,0.043993319,14,105,90,15,9,5
1070,D48,Retornar_trabalho,0.391304348,0.001433906,23,96,85,11,14,9
1081,RMDQ4_v1,Retornar_trabalho,0.183673469,0.041278471,49,139,128,11,40,9
1082,RMDQ5_v1,Retornar_trabalho,0.19047619,0.007933886,63,125,117,8,51,12
1083,RMDQ6_v1,Retornar_trabalho,0.1875,0.03466901,48,140,129,11,39,9
1087,RMDQ10_v1,Retornar_trabalho,0.194444444,0.04019157,36,151,139,12,29,7
1088,RMDQ11_v1,Retornar_trabalho,0.189189189,0.048968827,37,150,138,12,30,7
1098,RMDQ21_v1,Retornar_trabalho,0.23255814,0.001199768,43,144,135,9,33,10
1109,DH4 - Hipoestesia ao toque,Retornar_trabalho,0.428571429,0.001306649,7,184,170,14,4,3
1110,DN4 - Hipoestesia a picada de agulha,Retornar_trabalho,0.375,0.003705427,8,183,169,14,5,3
1111,DN4 - Escovação,Retornar_trabalho,0.5,0.000327726,6,185,171,14,3,3
1123,Masc,Masc,1,3.93E-54,161,79,79,0,0,161
1124,Fem,Masc,0,3.93E-54,79,161,0,161,79,0
1130,X6,Masc,1,0.010945431,12,190,68,122,0,12
1139,D19,Masc,1,0.044820788,7,129,48,81,0,7
1164,D41,Masc,1,0.044820788,7,129,48,81,0,7
1224,Masc,Fem,0,3.93E-54,161,79,0,79,161,0
1225,Fem,Fem,1,3.93E-54,79,161,161,0,0,79
1231,X6,Fem,0,0.010945431,12,190,122,68,12,0
1240,D19,Fem,0,0.044820788,7,129,81,48,7,0
1265,D41,Fem,0,0.044820788,7,129,81,48,7,0
1314,Fuma,Casado/Amasiaado,0.260869565,0.006273695,46,147,75,72,34,12
1327,Casado/Amasiaado,Casado/Amasiaado,1,7.65E-46,85,117,117,0,0,85
1328,Solteiro,Casado/Amasiaado,0,1.87E-26,88,114,29,85,88,0
1329,Separado_Divorciado,Casado/Amasiaado,0,0.01389343,8,194,109,85,8,0
1331,X5,Casado/Amasiaado,0,0.034045603,6,196,111,85,6,0
1332,X6,Casado/Amasiaado,0,0.002331214,12,190,105,85,12,0
1368,D43,Casado/Amasiaado,1,0.033543153,3,133,81,52,0,3
1406,DN4 - Sensação de frio dolorosa,Casado/Amasiaado,0.675,0.00050022,40,142,90,52,13,27
1409,DN4 - Alfinetada e agulhada,Casado/Amasiaado,0.327272727,0.048651461,55,130,67,63,37,18
1417,Aposentado,Solteiro,0.264705882,0.03547402,34,156,84,72,25,9
1428,Casado/Amasiaado,Solteiro,0,1.87E-26,85,117,29,88,85,0
1429,Solteiro,Solteiro,1,7.65E-46,88,114,114,0,0,88
1430,Separado_Divorciado,Solteiro,0,0.011220252,8,194,106,88,8,0
1432,X5,Solteiro,0,0.02890333,6,196,108,88,6,0
1433,X6,Solteiro,0,0.001699981,12,190,102,88,12,0
1451,D27,Solteiro,1,0.009247013,5,131,77,54,0,5
1471,D45,Solteiro,0.75,0.020643483,12,124,74,50,3,9
1472,D46,Solteiro,0.289473684,0.034420939,38,98,50,48,27,11
1507,DN4 - Sensação de frio dolorosa,Solteiro,0.25,0.009774876,40,142,74,68,30,10
1529,Casado/Amasiaado,Separado_Divorciado,0,0.01389343,85,117,109,8,85,0
1530,Solteiro,Separado_Divorciado,0,0.011220252,88,114,106,8,88,0
1531,Separado_Divorciado,Separado_Divorciado,1,7.65E-46,8,194,194,0,0,8
1617,Fuma,X4,0.065217391,0.001804648,46,147,147,0,43,3
1633,X4,X4,1,7.65E-46,3,199,199,0,0,3
1640,D15,X4,0.142857143,0.025464867,7,129,127,2,6,1
1642,D17,X4,0.2,0.005775792,5,131,129,2,4,1
1644,D19,X4,0.142857143,0.025464867,7,129,127,2,6,1
1645,D2,X4,0.25,6.05E-06,8,128,127,1,6,2
1656,D3,X4,0.5,3.55E-06,2,134,132,2,1,1
1663,D36,X4,0.125,0.041013946,8,128,126,2,7,1
1665,D38,X4,0.333333333,0.000205681,3,133,131,2,2,1
1667,D4,X4,0.25,0.001629579,4,132,130,2,3,1
1668,D40,X4,0.2,0.005775792,5,131,129,2,4,1
1712,DN4 - Alfinetada e agulhada,X4,0.054545455,0.007258773,55,130,130,0,52,3
1714,DN4 - Coceira,X4,0.142857143,0.006842345,7,178,176,2,6,1
1731,Casado/Amasiaado,X5,0,0.034045603,85,117,111,6,85,0
1732,Solteiro,X5,0,0.02890333,88,114,108,6,88,0
1735,X5,X5,1,7.65E-46,6,196,196,0,0,6
1739,Livrar_perda_sens,X5,1,9.37E-14,1,111,110,1,0,1
1814,DN4 - Adormecimento,X5,0.074074074,0.012071721,54,129,128,1,50,4
1821,Aposentado,X6,0.205882353,4.55E-05,34,156,152,4,27,7
1829,Retornar_trabalho,X6,0.19047619,0.003031321,21,146,141,5,17,4
1830,Masc,X6,0.089552239,0.010945431,134,68,68,0,122,12
1831,Fem,X6,0,0.010945431,68,134,122,12,68,0
1832,Casado/Amasiaado,X6,0,0.002331214,85,117,105,12,85,0
1833,Solteiro,X6,0,0.001699981,88,114,102,12,88,0
1837,X6,X6,1,7.65E-46,12,190,190,0,0,12
1868,D39,X6,0.2,0.046635117,15,121,114,7,12,3
1876,D46,X6,0.157894737,0.018910781,38,98,94,4,32,6
1878,D48,X6,0.192307692,0.009874806,26,110,105,5,21,5
1891,RMDQ6_v1,X6,0.145833333,0.008912245,48,135,130,5,41,7
1916,DN4 - Coceira,X6,0.285714286,0.009862403,7,178,169,9,5,2
1928,Dor nas costas,Livrar_costas,0.918918919,5.90E-05,111,16,7,9,9,102
1929,Dor nas pernas,Livrar_costas,0.771929825,0.000663642,57,68,2,66,13,44
1939,Livrar_costas,Livrar_costas,1,1.12E-29,112,16,16,0,0,112
1940,Livrar_perna,Livrar_costas,0,9.63E-26,14,114,2,112,14,0
1941,Livrar_perda_sens,Livrar_costas,0,0.000162441,2,126,14,112,2,0
1953,D24,Livrar_costas,1,0.01983502,25,75,14,61,0,25
1963,D33,Livrar_costas,0.666666667,0.039636817,12,88,10,78,4,8
1966,D36,Livrar_costas,0.571428571,0.022510445,7,93,11,82,3,4
1968,D38,Livrar_costas,0,1.31E-05,3,97,11,86,3,0
1971,D40,Livrar_costas,0.25,0.000332607,4,96,11,85,3,1
1976,D45,Livrar_costas,0.666666667,0.039636817,12,88,10,78,4,8
1977,D46,Livrar_costas,0.75,0.017425222,36,64,5,59,9,27
1978,D47,Livrar_costas,0.583333333,0.003236093,12,88,9,79,5,7
1990,RMDQ4_v1,Livrar_costas,0.96969697,0.048280755,33,91,15,76,1,32
2029,Dor nas costas,Livrar_perna,0.072072072,0.000297933,111,16,10,6,103,8
2030,Dor nas pernas,Livrar_perna,0.228070175,0.000164949,57,68,67,1,44,13
2040,Livrar_costas,Livrar_perna,0,9.63E-26,112,16,2,14,112,0
2041,Livrar_perna,Livrar_perna,1,1.12E-29,14,114,114,0,0,14
2054,D24,Livrar_perna,0,0.01983502,25,75,61,14,25,0
2064,D33,Livrar_perna,0.333333333,0.039636817,12,88,78,10,8,4
2067,D36,Livrar_perna,0.428571429,0.022510445,7,93,82,11,4,3
2069,D38,Livrar_perna,1,1.31E-05,3,97,86,11,0,3
2072,D40,Livrar_perna,0.75,0.000332607,4,96,85,11,1,3
2077,D45,Livrar_perna,0.333333333,0.039636817,12,88,78,10,8,4
2078,D46,Livrar_perna,0.25,0.017425222,36,64,59,5,27,9
2079,D47,Livrar_perna,0.416666667,0.003236093,12,88,79,9,7,5
2115,DN4 - Formigamento,Livrar_perna,0.225806452,0.027950488,31,89,82,7,24,7
2139,X5,Livrar_perda_sens,0.5,9.37E-14,2,110,110,0,1,1
2141,Livrar_costas,Livrar_perda_sens,0,0.000162441,112,16,14,2,112,0
2143,Livrar_perda_sens,Livrar_perda_sens,1,1.12E-29,2,126,126,0,0,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
